Timestamp,MMSI,Latitude,Longitude,Speed,Course-sin,Course-cos,Length,Width,Vesseltype,Distance,Timestamp,MMSI,Latitude,Longitude,Speed,Course-sin,Course-cos,Length,Width,Vesseltype,Distance,Timestamp,MMSI,Latitude,Longitude,Speed,Course-sin,Course-cos,Length,Width,Vesseltype,Distance,WindDirection,WindSpeed,Visibility
1612130872.0,367654260.0,37.818086,-122.449067,19.816976,-0.998408,0.056397,60.0,16.0,4.0,0.863611,1612130872.0,368060190.0,37.806481,-122.485266,18.944568,-0.597058,-0.802198,50.0,21.0,6.0,0.938376,1612130872.0,431851000.0,37.799991,-122.514524,16.069732,0.846953,0.531667,70.0,199.0,38.0,0.918429,292.47777777777776,7.247777777777777,10.0
1612130873.0,367654260.0,37.818091,-122.449183,19.628863,-0.998392,0.056685,60.0,16.0,4.0,0.858346,1612130873.0,368060190.0,37.806411,-122.485333,18.953148,-0.603163,-0.797618,50.0,21.0,6.0,0.935489,1612130873.0,431851000.0,37.80003,-122.514444,16.047644,0.846263,0.532766,70.0,199.0,38.0,0.914956,292.48055555555555,7.248055555555555,10.0
1612130874.0,367654260.0,37.818097,-122.449298,19.443166,-0.998376,0.056964,60.0,16.0,4.0,0.853132,1612130874.0,368060190.0,37.806341,-122.485399,18.962051,-0.609136,-0.793066,50.0,21.0,6.0,0.932587,1612130874.0,431851000.0,37.80007,-122.514365,16.02587,0.845577,0.533853,70.0,199.0,38.0,0.911488,292.4833333333333,7.248333333333333,10.0
1612130875.0,367654260.0,37.818102,-122.449411,19.259883,-0.998361,0.057236,60.0,16.0,4.0,0.847967,1612130875.0,368060190.0,37.806271,-122.485467,18.971228,-0.614979,-0.788544,50.0,21.0,6.0,0.92967,1612130875.0,431851000.0,37.80011,-122.514285,16.004409,0.844898,0.534928,70.0,199.0,38.0,0.908026,292.4861111111111,7.248611111111111,10.0
1612130876.0,367654260.0,37.818107,-122.449524,19.079015,-0.998346,0.0575,60.0,16.0,4.0,0.842851,1612130876.0,368060190.0,37.806202,-122.485535,18.980629,-0.620693,-0.784054,50.0,21.0,6.0,0.926738,1612130876.0,431851000.0,37.800149,-122.514206,15.98326,0.844224,0.535991,70.0,199.0,38.0,0.904569,292.4888888888889,7.248888888888889,10.0
1612130877.0,367654260.0,37.818112,-122.449636,18.900561,-0.998331,0.057755,60.0,16.0,4.0,0.837784,1612130877.0,368060190.0,37.806133,-122.485604,18.990205,-0.62628,-0.779598,50.0,21.0,6.0,0.923792,1612130877.0,431851000.0,37.800189,-122.514127,15.962423,0.843555,0.537042,70.0,199.0,38.0,0.901117,292.4916666666667,7.249166666666666,10.0
1612130878.0,367654260.0,37.818117,-122.449746,18.724521,-0.998317,0.058001,60.0,16.0,4.0,0.832763,1612130878.0,368060190.0,37.806065,-122.485674,18.999909,-0.631741,-0.775179,50.0,21.0,6.0,0.920832,1612130878.0,431851000.0,37.800228,-122.514048,15.941895,0.842893,0.538081,70.0,199.0,38.0,0.897671,292.49444444444447,7.249444444444444,10.0
1612130879.0,367654260.0,37.818122,-122.449855,18.550896,-0.998303,0.058238,60.0,16.0,4.0,0.82779,1612130879.0,368060190.0,37.805997,-122.485744,19.009694,-0.637079,-0.770798,50.0,21.0,6.0,0.917859,1612130879.0,431851000.0,37.800268,-122.51397,15.921677,0.842237,0.539108,70.0,199.0,38.0,0.894229,292.4972222222222,7.249722222222222,10.0
1612130880.0,367654260.0,37.818127,-122.449964,18.379684,-0.998289,0.058465,60.0,16.0,4.0,0.822863,1612130880.0,368060190.0,37.805929,-122.485815,19.019513,-0.642294,-0.766458,50.0,21.0,6.0,0.914872,1612130880.0,431851000.0,37.800308,-122.513891,15.901767,0.841587,0.540122,70.0,199.0,38.0,0.890793,292.5,7.25,10.0
1612130881.0,367654260.0,37.818132,-122.450071,18.210887,-0.998277,0.058682,60.0,16.0,4.0,0.817981,1612130881.0,368060190.0,37.805861,-122.485887,19.029323,-0.647389,-0.762159,50.0,21.0,6.0,0.911872,1612130881.0,431851000.0,37.800348,-122.513813,15.882164,0.840943,0.541124,70.0,199.0,38.0,0.887361,292.5027777777778,7.250277777777778,10.0
