Timestamp,MMSI,Latitude,Longitude,Speed,Course-sin,Course-cos,Length,Width,Vesseltype,Distance,Timestamp,MMSI,Latitude,Longitude,Speed,Course-sin,Course-cos,Length,Width,Vesseltype,Distance,Timestamp,MMSI,Latitude,Longitude,Speed,Course-sin,Course-cos,Length,Width,Vesseltype,Distance,Timestamp,MMSI,Latitude,Longitude,Speed,Course-sin,Course-cos,Length,Width,Vesseltype,Distance,WindDirection,WindSpeed,Visibility
1625936340.0,338398275.0,37.82816,-122.454325,6.541692,-0.494409,0.86923,36.0,10.0,4.0,0.851184,1625936340.0,338406416.0,37.817538,-122.46475,6.48708,0.868525,-0.495645,37.0,13.0,4.0,0.80781,1625936340.0,366742520.0,37.83552,-122.468335,8.719629,0.140237,0.990118,60.0,14.0,5.0,0.866381,1625936340.0,565558000.0,37.818919,-122.44121,13.144067,-0.99485,0.101357,70.0,293.0,40.0,0.842436,307.0,6.5,10.0
1625936341.0,338398275.0,37.828187,-122.454344,6.547427,-0.494626,0.869106,36.0,10.0,4.0,0.847223,1625936341.0,338406416.0,37.817523,-122.464717,6.474811,0.867986,-0.496589,37.0,13.0,4.0,0.802888,1625936341.0,366742520.0,37.83556,-122.468328,8.71576,0.13701,0.99057,60.0,14.0,5.0,0.86281,1625936341.0,565558000.0,37.818925,-122.441286,13.148832,-0.994826,0.101598,70.0,293.0,40.0,0.838259,306.9916666666667,6.501388888888889,10.0
1625936342.0,338398275.0,37.828213,-122.454363,6.553262,-0.494874,0.868965,36.0,10.0,4.0,0.843258,1625936342.0,338406416.0,37.817508,-122.464685,6.462402,0.867363,-0.497676,37.0,13.0,4.0,0.797977,1625936342.0,366742520.0,37.8356,-122.468321,8.712212,0.133755,0.991014,60.0,14.0,5.0,0.859239,1625936342.0,565558000.0,37.818931,-122.441363,13.153571,-0.994801,0.101835,70.0,293.0,40.0,0.83408,306.9833333333333,6.502777777777778,10.0
1625936343.0,338398275.0,37.828239,-122.454382,6.5592,-0.495153,0.868806,36.0,10.0,4.0,0.839289,1625936343.0,338406416.0,37.817493,-122.464652,6.449855,0.866655,-0.498908,37.0,13.0,4.0,0.793076,1625936343.0,366742520.0,37.83564,-122.468314,8.708987,0.130473,0.991452,60.0,14.0,5.0,0.855666,1625936343.0,565558000.0,37.818938,-122.44144,13.158283,-0.994777,0.102067,70.0,293.0,40.0,0.829899,306.975,6.504166666666666,10.0
1625936344.0,338398275.0,37.828266,-122.454401,6.56524,-0.495462,0.868629,36.0,10.0,4.0,0.835316,1625936344.0,338406416.0,37.817478,-122.464619,6.437176,0.865861,-0.500285,37.0,13.0,4.0,0.788186,1625936344.0,366742520.0,37.83568,-122.468308,8.706087,0.127164,0.991882,60.0,14.0,5.0,0.852092,1625936344.0,565558000.0,37.818944,-122.441516,13.162968,-0.994754,0.102296,70.0,293.0,40.0,0.825718,306.96666666666664,6.505555555555556,10.0
1625936345.0,338398275.0,37.828292,-122.45442,6.571381,-0.495802,0.868435,36.0,10.0,4.0,0.83134,1625936345.0,338406416.0,37.817463,-122.464586,6.42437,0.864979,-0.501808,37.0,13.0,4.0,0.783307,1625936345.0,366742520.0,37.83572,-122.468301,8.703515,0.123828,0.992304,60.0,14.0,5.0,0.848517,1625936345.0,565558000.0,37.81895,-122.441593,13.167626,-0.994731,0.102519,70.0,293.0,40.0,0.821534,306.9583333333333,6.506944444444445,10.0
1625936346.0,338398275.0,37.828318,-122.454439,6.577625,-0.496173,0.868224,36.0,10.0,4.0,0.827359,1625936346.0,338406416.0,37.817448,-122.464554,6.411442,0.864008,-0.503478,37.0,13.0,4.0,0.778438,1625936346.0,366742520.0,37.83576,-122.468295,8.701272,0.120466,0.992717,60.0,14.0,5.0,0.844939,1625936346.0,565558000.0,37.818956,-122.44167,13.172257,-0.994708,0.102739,70.0,293.0,40.0,0.81735,306.95,6.508333333333333,10.0
1625936347.0,338398275.0,37.828345,-122.454458,6.583972,-0.496573,0.867995,36.0,10.0,4.0,0.823374,1625936347.0,338406416.0,37.817433,-122.464521,6.398399,0.862947,-0.505294,37.0,13.0,4.0,0.773581,1625936347.0,366742520.0,37.8358,-122.468289,8.699361,0.117078,0.993123,60.0,14.0,5.0,0.84136,1625936347.0,565558000.0,37.818963,-122.441746,13.176861,-0.994686,0.102954,70.0,293.0,40.0,0.813163,306.94166666666666,6.509722222222222,10.0
1625936348.0,338398275.0,37.828371,-122.454477,6.590422,-0.497004,0.867748,36.0,10.0,4.0,0.819384,1625936348.0,338406416.0,37.817418,-122.464489,6.385247,0.861794,-0.507258,37.0,13.0,4.0,0.768736,1625936348.0,366742520.0,37.83584,-122.468283,8.697783,0.113664,0.993519,60.0,14.0,5.0,0.837779,1625936348.0,565558000.0,37.818969,-122.441823,13.181438,-0.994664,0.103166,70.0,293.0,40.0,0.808976,306.93333333333334,6.511111111111111,10.0
1625936349.0,338398275.0,37.828398,-122.454496,6.596975,-0.497465,0.867484,36.0,10.0,4.0,0.815391,1625936349.0,338406416.0,37.817403,-122.464457,6.371995,0.860548,-0.50937,37.0,13.0,4.0,0.763902,1625936349.0,366742520.0,37.835879,-122.468277,8.696541,0.110225,0.993907,60.0,14.0,5.0,0.834195,1625936349.0,565558000.0,37.818975,-122.4419,13.185987,-0.994643,0.103372,70.0,293.0,40.0,0.804787,306.925,6.5125,10.0
